,text,screenName,retweetCount,isRetweet
64,Yum #dinner https://t.co/xd01jOptgv,EmpressOni,0,FALSE
65,You get a free Lyft to Bacchanalia #celebrate #atlanta #dinner Use the Lyft Code ZOOT,SpunkyHotDeals,0,FALSE
66,Love Chick-fil-A? Get $50 Free Lyft ride credit to get there free. Use Lyft Code: BEG #munch #food #takeout #dinner,SpunkyHotDeals,0,FALSE
67,"Double cut ribeye. Oh, my. #steak #dinner #nyc #italianfood https://t.co/thgPtHOYmG",zioristorante,1,FALSE
68,#Ad A new way to order shwarma....from your own kitchen (cell phone not required). Oven roasted chicken/turkey shee… https://t.co/O5VPTIMDY0,PerPortions,8,FALSE
69,I’m hungry but I don’t know what to have for dinner. That’s slightly annoying. #Dinner #DinnerIdeas,Astharteea,0,FALSE
70,RT @AHorth: Last chance to get your Mother Earth Kimberley Gala Dinner Tickets at https://t.co/PDXtfIETko #lastchance #gala #dinner #ticket…,hotelinabudhabi,2,TRUE
71,"Which is your favorite #meal of the day? #BREAKFAST, #LUNCH or #DINNER? Tell me in the #comments… https://t.co/hKliOQENgQ",your_smmpro,0,FALSE
72,"Try my irresistible #Tuna Tartare as an appetizer, it’s easy to make, and an elegant addition to your next #holiday… https://t.co/Jc207100fp",donatellaarpaia,2,FALSE
73,RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…,charm_martin,38,TRUE
74,Time to plan my annual #holiday #dinner party! Thx Nonna for giving us all the fun Santa table cloth.… https://t.co/Y817OimRed,SweetSincerely,0,FALSE
75,A to me: do you eat chicken butt? Me: .....is that a trick question? #taiwan #dinner,parisazo,0,FALSE
76,RT @AHorth: Last chance to get your Mother Earth Kimberley Gala Dinner Tickets at https://t.co/PDXtfIETko #lastchance #gala #dinner #ticket…,EmiratesPalace,2,TRUE
77,od #oovoo I am sending nudes right now kik : SOBOMA   #lesbian #dinner #instago https://t.co/AYbupg7HnP,stattacaranmo,0,FALSE
78,Last chance to get your Mother Earth Kimberley Gala Dinner Tickets at https://t.co/PDXtfIETko #lastchance #gala… https://t.co/J0OZjbNiYi,AHorth,2,FALSE
79,"#day955 #dinner #quesadilla @ Fort Greene, Brooklyn https://t.co/YSDjZYrfqg",pons00,1,FALSE
80,"RT @stinger_mario: #PalaceResort, #romantic #dinner on the #beach for VIP members
https://t.co/B0fwkskSxn

#travel #vacation https://t.co/A…",MoffattGunnora,40,TRUE
81,RT @FamilyCircleMag: A rib roast #dinner for the holidays is a tasty idea. https://t.co/iZ8Cc5saqv https://t.co/JL7K21uRNC,ClaudiaB898,1,TRUE
82,#MyFamilyIn3Words #family #parents #father #dad #son #parenting #vintage #TV #guns #grandma #shooting #television… https://t.co/KAzFVbBOcI,RancidRandy1,0,FALSE
83,RT @NourishedBite: Bake this salmon for a fast and flavorful weekday meal https://t.co/vQZF9KDqUw #recipe #dinner #healthyeats… https://t.c…,musclebrain101,1,TRUE
84,RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…,MandPFuchs,38,TRUE
85,RT @alroker: For #dinner #tonight I made #grilled #salmon with #chimichurri roasted #cauliflower with #smoked #paprika and #sauteed #zucchi…,mcfrizzygirl,38,TRUE
